"","time","variable","value"
"1",960,"requestRate",8.57995129209787
"2",1020,"requestRate",8.40406693601397
"3",1080,"requestRate",8.03425451898563
"4",1140,"requestRate",7.66115319148148
"5",1200,"requestRate",7.76055124128084
"6",1260,"requestRate",7.59575085861371
"7",1320,"requestRate",6.98494412303387
"8",1380,"requestRate",7.53242659119651
"9",1440,"requestRate",7.9643191651039
"10",1500,"requestRate",8.10054594195928
"11",1560,"requestRate",7.78718675455282
"12",1620,"requestRate",7.40735483546055
"13",1680,"requestRate",7.06229899968943
"14",1740,"requestRate",6.80351656308707
"15",1800,"requestRate",6.73744966446451
"16",1860,"requestRate",6.63151763057951
"17",1920,"requestRate",6.81241199262302
"18",1980,"requestRate",6.67893000532986
"19",2040,"requestRate",7.14108233709868
"20",2100,"requestRate",7.07948718151642
"21",2160,"requestRate",7.71169240962862
"22",2220,"requestRate",7.85135126502643
"23",2280,"requestRate",8.13968033348986
"24",2340,"requestRate",8.07799290687836
"25",2400,"requestRate",8.17318966905091
"26",2460,"requestRate",8.25422629098832
"27",2520,"requestRate",8.19376866771032
"28",2580,"requestRate",8.34450868739839
"29",2640,"requestRate",8.4216013003179
"30",2700,"requestRate",8.46228525249337
"31",2760,"requestRate",8.55125570981399
"32",2820,"requestRate",8.30308740699886
"33",2880,"requestRate",7.92500125750039
"34",2940,"requestRate",8.18429011899861
"35",3000,"requestRate",7.99761019501052
"36",3060,"requestRate",8.09080494738531
"37",3120,"requestRate",7.92990390737169
"38",3180,"requestRate",12.185387889736
"39",3240,"requestRate",16.197955788046
"40",3300,"requestRate",16.5285596392516
"41",3360,"requestRate",16.526869330905
"42",3420,"requestRate",18.0582071573422
"43",3480,"requestRate",18.1042968334919
"44",3540,"requestRate",17.9209202765449
"45",3600,"requestRate",19.5626561800952
"46",3660,"requestRate",19.7920579250933
"47",3720,"requestRate",20.2490251693727
"48",3780,"requestRate",22.005307076896
"49",3840,"requestRate",23.4703207116618
"50",3900,"requestRate",24.1030556985449
"51",3960,"requestRate",25.3799524260932
"52",4020,"requestRate",26.9848079232103
"53",4080,"requestRate",26.7179236525759
"54",4140,"requestRate",27.0361202145269
"55",4200,"requestRate",26.525921845931
"56",4260,"requestRate",28.2999463685226
"57",4320,"requestRate",29.5051443031556
"58",4380,"requestRate",29.9933188929378
"59",4440,"requestRate",30.7101137924809
"60",4500,"requestRate",31.4327474924186
